image,desc,link,title
http://cnet4.cbsistatic.com/hub/i/r/2010/05/07/be527abf-406f-4e7f-818f-99b4ebb0f957/thumbnail/140x105/f7428817afee9085d06cf3a8f05108eb/be527abf-406f-4e7f-818f-99b4ebb0f957.jpg,"Nokia's latest workhorse phone is an impressive performer, but its husky design and oddly styled keypad may not be for everyone.","/products/nokia-3595-at-t/,/products/nokia-3595-at-t/prices/","Nokia 3595,"
http://cnet4.cbsistatic.com/fly/117-fly/bundles/cnetcss/images/placeholder/image_placeholder.png,This product has not yet been reviewed.,"/products/nokia-n8-00-smartphone-gsm-umts-series/,/products/nokia-n8-00-smartphone-gsm-umts-series/prices/",Nokia N8-00
http://cnet4.cbsistatic.com/hub/i/r/2014/02/12/d7eb1d92-d35c-409a-b5d3-3accabd6968a/thumbnail/140x105/6dadaafb0c7652e24ec74eba4bfe3d23/nokia-e63-blue-unlocked.gif,The Nokia E63 offers a more wallet-friendly price tag compared with other unlocked smartphones and does so without sacrificing too many features; we just we wish the call quality and camera were better.,"/products/nokia-e63-2/,/products/nokia-e63-2/prices/","Nokia E63,"
http://cnet4.cbsistatic.com/hub/i/r/2009/03/25/3a2274e6-667b-4084-9d90-dae9c14ef67d/thumbnail/140x105/105a0510a777548fad6346f03e545aab/nokia-7205-intrigue-cellular-phone-cdma-tft-black-to-chrome-fade-verizon.jpg,"The Nokia 7205 Intrigue certainly looks nice, but it's not a practical multimedia phone.","/products/nokia-7205-intrigue/,/products/nokia-7205-intrigue/prices/","Nokia 7205 Intrigue,"
http://cnet3.cbsistatic.com/hub/i/r/2014/02/12/bb55d520-a9f1-479c-aa5d-f3917c746576/thumbnail/140x105/d2d7d2ea64926d4068c5a94ae39a0435/nokia-6500-classic.gif,"The Nokia 6500 Classic is a simple phone for making calls, and it adds a couple of extra features, to boot. And for an unlocked handset, it's quite affordable.","/products/nokia-6500-classic/,/products/nokia-6500-classic/prices/",Nokia 6500 Classic
http://cnet4.cbsistatic.com/hub/i/r/2010/05/23/5d957b97-b9b7-4857-b885-192846cb04fd/thumbnail/140x105/5230adefd9a0eaacb730972b7feafb80/nokia-n85-smartphone-gsm-umts-3g-2-4-black.jpg,"The Nokia N85 may not offer as much memory as the N95 or N96, but it offers just as many features and a sleeker design, making it a better value in our book.","/products/nokia-n85/,/products/nokia-n85/prices/","Nokia N85 copper,"
http://cnet3.cbsistatic.com/hub/i/r/2010/05/22/679bf154-a0f2-4ef8-b798-73ae99734224/thumbnail/140x105/5c48bfd42bd5a4ea06bd49de645256f2/nokia-n79-smartphone-gsm-umts-3g-2-4.jpg,"The Nokia N79 might not be the star of the N series devices, but it still shines as a great multimedia smartphone with plenty of features and fast performance.","/products/nokia-n79-unlocked/,/products/nokia-n79-unlocked/prices/","Nokia N79,"
http://cnet3.cbsistatic.com/hub/i/r/2008/06/11/dd7577c1-a5fc-464b-8d37-e0b0ec1786a7/thumbnail/140x105/5403ee2ed9f77244fe70ba5239342565/dd7577c1-a5fc-464b-8d37-e0b0ec1786a7.jpg,"Though the Nokia N96 is a powerful all-in-one smartphone with an impressive amount of user storage, it's not a significant upgrade to the N95 and is outdone by new devices coming to market, including the Nokia N97.","/products/nokia-n96-unlocked/,/products/nokia-n96-unlocked/prices/","Nokia N96,"
http://cnet4.cbsistatic.com/hub/i/r/2010/06/16/18cd006f-573c-43f2-9b98-d0da90e0fa15/thumbnail/140x105/2207c845495da2a09541d8375de74579/nokia-6650-smartphone-gsm-umts-3g-2-2-black-at-t.jpg,"The Nokia 6650 isn't the sexiest phone around, but it has a decent feature set and it performs well.","/products/nokia-6650/,/products/nokia-6650/prices/","Nokia 6650,"
http://cnet4.cbsistatic.com/hub/i/r/2009/10/28/3dc990dc-4f0c-460a-b328-89351a14263e/thumbnail/140x105/3d00d40e5eb0b6539e2aba388168fdaf/3dc990dc-4f0c-460a-b328-89351a14263e.jpg,"The Nokia 1680 is adequate for anyone with minimal cell phone needs, but even moderate users will find it disappointing.","/products/nokia-1680-t-mobile/,/products/nokia-1680-t-mobile/prices/","Nokia 1680,"
